unified_customer_id,address,city,country_name,created_at,email,first_name,last_name,phone_number,source_store,updated_at
692750b7235e693f23cff824ed180174,"929 Harbor Rd, Bay View, AK", AK,United States,2023-11-18,msmith6721@customer.com,Mary,Smith,555-547-7556,old store,
6568bd19668862dd8ccf02f8c6c73ac2,"929 Harbor Rd, Bay View, AK", AK,United States,2024-01-19,mjohnson6722@customer.com,Mary,Johnson,555-898-2530,old store,
cbf05d0d6390efdda98e2bb9c57af38b,"929 Harbor Rd, Bay View, AK", AK,United States,2023-12-14,mwilliams6723@customer.com,Mary,Williams,555-829-4474,old store,
8b588469ddc8590f1f17c75a9e4d2c88,"929 Harbor Rd, Bay View, AK", AK,United States,2024-08-25,mbrown6724@customer.com,Mary,Brown,555-049-7188,old store,
3c3a86d81ef6d3effc6fbe3a0b182df1,"929 Harbor Rd, Bay View, AK", AK,United States,2024-07-13,mjones6725@customer.com,Mary,Jones,555-477-0306,old store,
3ea70d75e63b8aae5d45a380fb1d1f99,"929 Harbor Rd, Bay View, AK", AK,United States,2024-08-08,mgarcia6726@customer.com,Mary,Garcia,555-901-3684,old store,
099479f7bf7f100d8013fd73efb8f83d,"929 Harbor Rd, Bay View, AK", AK,United States,2023-12-27,mmiller6727@customer.com,Mary,Miller,555-536-6089,old store,
76629762ff01d3f0f3f3d04ed5cab566,"929 Harbor Rd, Bay View, AK", AK,United States,2024-01-24,mdavis6728@customer.com,Mary,Davis,555-955-8491,old store,
8379d7349d193e434c543a2d8266d034,"929 Harbor Rd, Bay View, AK", AK,United States,2023-11-09,mrodriguez6729@customer.com,Mary,Rodriguez,555-116-7388,old store,
ab30b97acdc261e66f5d779a9fea26ea,"929 Harbor Rd, Bay View, AK", AK,United States,2024-10-11,mmartinez6730@customer.com,Mary,Martinez,555-228-3032,old store,
cfcb4ea3373f28589fcfa10d5dd469de,"929 Harbor Rd, Bay View, AK", AK,United States,2024-07-09,mhernandez6731@customer.com,Mary,Hernandez,555-017-4579,old store,
ec53aff491fe234c29d701d9634e1058,"929 Harbor Rd, Bay View, AK", AK,United States,2024-02-22,mlopez6732@customer.com,Mary,Lopez,555-329-1051,old store,
144708e06807e81fd5bad9edb1cfdb9f,"929 Harbor Rd, Bay View, AK", AK,United States,2023-12-04,mgonzalez6733@customer.com,Mary,Gonzalez,555-111-8130,old store,
2e168fe8e4f827db3ba03201a6f33242,"929 Harbor Rd, Bay View, AK", AK,United States,2024-01-09,mwilson6734@customer.com,Mary,Wilson,555-319-0313,old store,
e540422cec269c4f4738e3be66b704aa,"929 Harbor Rd, Bay View, AK", AK,United States,2023-12-30,manderson6735@customer.com,Mary,Anderson,555-452-7330,old store,
8389b1345a1385a478bf902e31d669a3,"929 Harbor Rd, Bay View, AK", AK,United States,2024-02-29,mthomas6736@customer.com,Mary,Thomas,555-483-5114,old store,
5df3ce9e5a9d3a1bfdb458f57ade50cd,"929 Harbor Rd, Bay View, AK", AK,United States,2024-06-16,mtaylor6737@customer.com,Mary,Taylor,555-843-6587,old store,
832ffa19b11fc16fc74fc67ddeb35c89,"929 Harbor Rd, Bay View, AK", AK,United States,2024-05-13,mmoore6738@customer.com,Mary,Moore,555-467-4725,old store,
dde6f8177ffa19d347f7c896b59df65d,"929 Harbor Rd, Bay View, AK", AK,United States,2024-06-22,mjackson6739@customer.com,Mary,Jackson,555-177-0231,old store,
1169a242f2572c6f90d97fde466b1956,"929 Harbor Rd, Bay View, AK", AK,United States,2024-04-07,mmartin6740@customer.com,Mary,Martin,555-509-9751,old store,
